Date,Adult care homes - Cumulative number that have reported a suspected COVID-19 case,Adult care homes - Proportion that have reported a suspected COVID-19 case,Adult care homes - Cumulative number that have reported more than one suspected COVID-19 case,Adult care homes - Number with current suspected COVID-19 cases,Adult care homes - Proportion with current suspected COVID-19 cases,Adult care homes - Number with current suspected COVID-19 cases - revised,Adult care homes - Proportion with current suspected COVID-19 cases - revised,Adult care homes - Cumulative number of suspected COVID-19 cases,Adult care homes - Daily number of new suspected COVID-19 cases
2020-04-11,406,37,202,NA,NA,NA,NA,1095,35
2020-04-12,408,38,204,NA,NA,NA,NA,1124,29
2020-04-13,414,38,214,NA,NA,NA,NA,1209,85
2020-04-14,433,40,225,NA,NA,NA,NA,1295,86
2020-04-15,444,41,239,NA,NA,NA,NA,1398,103
2020-04-16,456,42,251,NA,NA,NA,NA,1498,100
2020-04-17,459,42,267,NA,NA,NA,NA,1621,123
2020-04-18,462,43,269,NA,NA,NA,NA,1663,42
2020-04-19,462,43,272,NA,NA,NA,NA,1677,14
2020-04-20,475,44,286,NA,NA,NA,NA,1873,196
2020-04-21,495,46,308,384,35,NA,NA,2085,212
2020-04-22,506,47,318,NA,NA,NA,NA,2293,208
2020-04-23,516,48,332,NA,NA,NA,NA,2445,152
2020-04-24,526,49,342,NA,NA,NA,NA,2621,176
2020-04-25,529,49,345,NA,NA,NA,NA,2690,69
2020-04-26,530,49,345,NA,NA,NA,NA,2731,41
2020-04-27,538,50,354,NA,NA,NA,NA,2935,204
2020-04-28,547,51,360,429,40,NA,NA,3095,160
2020-04-29,554,51,367,NA,NA,NA,NA,3221,126
2020-04-30,562,52,377,NA,NA,NA,NA,3345,124
2020-05-01,568,52,384,NA,NA,NA,NA,3466,121
2020-05-02,569,53,388,NA,NA,NA,NA,3500,34
2020-05-03,571,53,390,NA,NA,NA,NA,3558,58
2020-05-04,576,53,402,NA,NA,NA,NA,3779,221
2020-05-05,585,54,408,453,42,NA,NA,3948,169
2020-05-06,593,55,415,NA,NA,NA,NA,4139,191
2020-05-07,599,55,420,470,44,NA,NA,4281,142
2020-05-08,608,56,429,NA,NA,NA,NA,4406,125
2020-05-09,609,56,431,474,44,NA,NA,4445,39
2020-05-10,609,56,434,434,40,NA,NA,4503,58
2020-05-11,613,57,440,432,40,NA,NA,4643,140
2020-05-12,620,57,448,436,41,NA,NA,4738,95
2020-05-13,624,58,457,440,41,NA,NA,4869,131
2020-05-14,629,58,459,488,45,NA,NA,4975,106
2020-05-15,632,58,463,486,45,NA,NA,5069,94
2020-05-16,632,58,463,486,45,NA,NA,5096,27
2020-05-17,632,58,463,484,45,NA,NA,5126,30
2020-05-18,634,59,467,482,45,NA,NA,5306,180
2020-05-19,638,59,470,484,45,NA,NA,5363,57
2020-05-20,644,59,474,480,44,NA,NA,5463,100
2020-05-21,651,60,476,485,45,NA,NA,5532,69
2020-05-22,653,60,481,484,45,NA,NA,5593,61
2020-05-23,655,60,482,485,45,NA,NA,5635,42
2020-05-24,655,60,482,486,45,NA,NA,5652,17
2020-05-25,658,61,487,485,45,NA,NA,5759,107
2020-05-26,662,61,490,477,44,NA,NA,5819,60
2020-05-27,665,61,493,478,44,NA,NA,5853,34
2020-05-28,667,62,496,488,45,NA,NA,5912,59
2020-05-29,668,62,498,483,45,NA,NA,5951,39
2020-05-30,668,62,499,483,45,NA,NA,5957,6
2020-05-31,668,62,500,481,44,NA,NA,5961,4
2020-06-01,668,62,501,472,44,NA,NA,6019,58
2020-06-02,668,62,502,458,42,NA,NA,6019,0
2020-06-03,673,62,507,448,41,NA,NA,6061,42
2020-06-04,675,62,512,421,39,NA,NA,6088,27
2020-06-05,677,63,513,406,38,NA,NA,6146,58
2020-06-06,677,63,513,406,38,NA,NA,6154,8
2020-06-07,678,63,513,405,38,NA,NA,6187,33
2020-06-08,678,63,514,397,37,NA,NA,6230,43
2020-06-09,681,63,515,390,36,NA,NA,6274,44
2020-06-10,682,63,516,382,35,NA,NA,6288,14
2020-06-11,682,63,519,372,34,NA,NA,6310,22
2020-06-12,683,63,520,366,34,NA,NA,6333,23
2020-06-13,684,63,520,366,34,NA,NA,6337,4
2020-06-14,684,63,520,366,34,NA,NA,6344,7
2020-06-15,685,63,522,358,33,NA,NA,6376,32
2020-06-16,686,63,523,352,33,NA,NA,6408,32
2020-06-17,686,63,524,351,33,NA,NA,6424,16
2020-06-18,687,63,525,348,32,NA,NA,6434,10
2020-06-19,688,64,526,347,32,NA,NA,6452,18
2020-06-20,688,64,526,348,32,NA,NA,6456,4
2020-06-21,688,64,526,347,32,NA,NA,6465,9
2020-06-22,688,64,526,340,31,NA,NA,6485,20
2020-06-23,688,64,527,331,31,NA,NA,6515,30
2020-06-24,689,64,528,330,31,NA,NA,6523,8
2020-06-25,689,64,529,313,29,NA,NA,6543,20
2020-06-26,689,64,531,256,24,NA,NA,6561,18
2020-06-27,689,64,531,253,23,NA,NA,6564,3
2020-06-28,689,64,531,253,23,143,13,6566,2
2020-06-29,689,64,533,NA,NA,140,13,6579,13
2020-06-30,689,64,536,NA,NA,138,13,6601,22
2020-07-01,689,64,536,NA,NA,135,13,6621,20
2020-07-02,690,64,537,NA,NA,135,13,6631,10
2020-07-03,691,64,537,NA,NA,129,12,6644,13
2020-07-04,691,64,537,NA,NA,125,12,6646,2
2020-07-05,691,64,537,NA,NA,123,11,6648,2
2020-07-06,691,64,540,NA,NA,125,12,6672,24
2020-07-07,691,64,540,NA,NA,119,11,6682,10
2020-07-08,692,64,540,NA,NA,113,10,6697,15
2020-07-09,693,64,542,NA,NA,117,11,6707,10
2020-07-10,693,64,542,NA,NA,114,11,6719,12
2020-07-11,693,64,542,NA,NA,115,11,6726,7
2020-07-12,693,64,542,NA,NA,115,11,6729,3
2020-07-13,693,64,542,NA,NA,108,10,6737,8
2020-07-14,694,64,542,NA,NA,98,9,6742,5
2020-07-15,694,64,543,NA,NA,97,9,6757,15
2020-07-16,694,64,543,NA,NA,90,8,6765,8
2020-07-17,695,64,544,NA,NA,85,8,6778,13
2020-07-18,695,64,544,NA,NA,84,8,6801,23
2020-07-19,695,64,544,NA,NA,82,8,6802,1
2020-07-20,697,65,547,NA,NA,90,8,6830,28
2020-07-21,697,65,548,NA,NA,83,8,6834,4
2020-07-22,697,65,548,NA,NA,81,8,6841,7
2020-07-23,697,65,548,NA,NA,76,7,6851,10
